"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","323","1,585","4.9","83","9","18","55","46","378","8.2","2","1","17","316.3","18.6","99.6%"
"2","Christian McCaffrey (SF)","311","1,202","3.9","41","3","10","129","102","924","9.1","7","0","17","314.6","18.5","99.8%"
"3","Bijan Robinson (ATL)","287","1,478","5.1","93","8","7","103","79","820","10.4","4","3","17","291.8","17.2","99.8%"
"4","Jahmyr Gibbs (DET)","243","1,223","5.0","78","10","13","94","77","616","8.0","5","1","17","289.9","17.1","99.9%"
"5","James Cook III (BUF)","309","1,621","5.2","64","9","12","40","33","291","8.8","2","3","17","269.2","15.8","99.5%"
"6","Derrick Henry (BAL)","307","1,595","5.2","59","17","16","21","15","150","10.0","0","3","17","264.5","15.6","99.7%"
"7","De'Von Achane (MIA)","238","1,350","5.7","59","13","8","85","67","488","7.3","4","0","16","255.8","16.0","99.7%"
"8","Kyren Williams (LAR)","259","1,252","4.8","34","6","10","50","36","281","7.8","3","2","17","227.3","13.4","99.4%"
"9","Travis Etienne Jr. (JAC)","260","1,107","4.3","71","7","7","52","36","292","8.1","6","0","17","217.9","12.8","95.3%"
"10","Chase Brown (CIN)","232","1,019","4.4","37","6","6","88","69","437","6.3","5","0","17","213.6","12.6","98.7%"
"11","Javonte Williams (DAL)","252","1,201","4.8","66","6","11","51","35","137","3.9","2","2","16","207.8","13.0","96.0%"
"12","Josh Jacobs (GB)","234","929","4.0","40","3","13","44","36","282","7.8","1","2","15","201.1","13.4","98.9%"
"13","Saquon Barkley (PHI)","280","1,140","4.1","65","4","7","50","37","273","7.4","2","1","16","195.3","12.2","99.8%"
"14","D'Andre Swift (CHI)","223","1,087","4.9","25","5","9","48","34","299","8.8","1","2","16","194.6","12.2","94.3%"
"15","Ashton Jeanty (LV)","266","975","3.7","64","3","5","73","55","346","6.3","5","1","17","190.1","11.2","98.8%"
"16","Rico Dowdle (CAR)","236","1,076","4.6","53","5","6","50","39","297","7.6","1","1","17","177.3","10.4","70.9%"
"17","Jaylen Warren (PIT)","211","958","4.5","45","6","6","45","40","333","8.3","2","0","16","177.1","11.1","91.8%"
"18","Breece Hall (NYJ)","243","1,065","4.4","59","8","4","48","36","350","9.7","1","2","16","171.7","10.7","96.7%"
"19","TreVeyon Henderson (NE)","180","911","5.1","69","6","9","42","35","221","6.3","1","1","17","171.2","10.1","95.8%"
"20","Zach Charbonnet (SEA)","184","730","4.0","30","5","12","24","20","144","7.2","0","0","16","161.4","10.1","75.6%"
"21","Kenneth Walker III (SEA)","221","1,027","4.6","55","10","5","36","31","282","9.1","0","0","17","160.9","9.5","95.8%"
"22","RJ Harvey (DEN)","146","540","3.7","50","3","7","58","47","356","7.6","5","1","17","159.6","9.4","92.9%"
"23","Tony Pollard (TEN)","242","1,082","4.5","65","6","5","41","33","206","6.2","0","3","17","152.8","9.0","87.8%"
"24","Kenneth Gainwell (PIT)","114","537","4.7","55","2","5","85","73","486","6.7","3","1","17","148.3","8.7","79.5%"
"25","Rhamondre Stevenson (NE)","130","603","4.6","56","7","7","37","32","345","10.8","2","3","14","146.8","10.5","78.2%"
"26","Quinshon Judkins (CLE)","230","827","3.6","46","4","7","36","26","171","6.6","0","0","14","143.8","10.3","76.5%"
"27","David Montgomery (DET)","158","716","4.5","72","3","8","29","24","192","8.0","0","1","17","142.9","8.4","92.3%"
"28","Jacory Croskey-Merritt (WAS)","175","805","4.6","72","3","8","13","9","68","7.6","0","2","17","131.3","7.7","50.3%"
"29","Kyle Monangai (CHI)","169","783","4.6","39","3","5","30","18","164","9.1","0","0","17","128.7","7.6","66.7%"
"30","Kareem Hunt (KC)","163","611","3.7","33","1","8","25","18","143","7.9","1","1","17","127.4","7.5","49.1%"
"31","Woody Marks (HOU)","196","703","3.6","23","2","2","36","24","208","8.7","3","0","16","127.1","7.9","79.2%"
"32","Tyrone Tracy Jr. (NYG)","176","740","4.2","31","3","2","48","36","288","8.0","2","1","15","124.8","8.3","85.8%"
"33","Jordan Mason (MIN)","159","758","4.8","24","4","6","16","14","51","3.6","0","1","16","114.9","7.2","66.6%"
"34","Blake Corum (LAR)","145","746","5.1","48","5","6","14","8","36","4.5","0","0","17","114.2","6.7","48.4%"
"35","Tyler Allgeier (ATL)","143","514","3.6","21","1","8","16","14","96","6.9","0","0","17","109.0","6.4","36.1%"
"36","Bucky Irving (TB)","173","588","3.4","32","1","1","35","30","277","9.2","3","1","10","108.5","10.9","98.2%"
"37","J.K. Dobbins (DEN)","153","772","5.0","41","5","4","14","11","37","3.4","0","0","10","104.9","10.5","52.4%"
"38","Cam Skattebo (NYG)","101","410","4.1","24","1","5","32","24","207","8.6","2","1","8","103.7","13.0","30.4%"
"39","Omarion Hampton (LAC)","124","545","4.4","54","3","4","35","32","192","6.0","1","0","9","103.7","11.5","93.5%"
"40","Rachaad White (TB)","132","572","4.3","39","2","4","45","40","218","5.5","0","0","17","103.0","6.1","53.1%"
"41","Kimani Vidal (LAC)","155","643","4.1","59","4","3","22","16","136","8.5","1","0","13","101.9","7.8","56.1%"
"42","Chuba Hubbard (CAR)","134","511","3.8","14","0","1","39","30","223","7.4","3","1","15","95.4","6.4","65.3%"
"43","Devin Singletary (NYG)","119","437","3.7","29","2","5","19","18","151","8.4","0","0","17","90.8","5.3","33.0%"
"44","Aaron Jones Sr. (MIN)","132","548","4.2","31","1","2","41","28","199","7.1","1","1","12","90.7","7.6","88.0%"
"45","Chris Rodriguez Jr. (WAS)","112","500","4.5","48","2","6","4","3","30","10.0","0","0","13","89.0","6.8","39.1%"
"46","Sean Tucker (TB)","86","320","3.7","43","1","7","11","8","34","4.3","1","0","17","83.4","4.9","14.7%"
"47","Emanuel Wilson (GB)","125","496","4.0","15","0","3","17","15","99","6.6","0","0","17","79.5","4.7","39.6%"
"48","Bhayshul Tuten (JAC)","83","307","3.7","15","0","5","14","10","79","7.9","2","1","15","78.6","5.2","25.6%"
"49","Ty Johnson (BUF)","50","200","4.0","23","1","3","33","24","263","11.0","2","0","17","76.3","4.5","4.0%"
"50","Nick Chubb (HOU)","122","506","4.1","30","3","3","20","13","67","5.2","0","0","15","75.3","5.0","36.1%"
"51","Bam Knight (ARI)","82","269","3.3","17","0","4","31","22","160","7.3","1","1","12","70.9","5.9","25.2%"
"52","Isiah Pacheco (KC)","118","462","3.9","16","0","1","26","19","101","5.3","1","0","13","68.3","5.3","71.5%"
"53","Alvin Kamara (NO)","131","471","3.6","18","0","1","39","33","186","5.6","0","2","11","67.7","6.2","86.4%"
"54","Tyjae Spears (TEN)","72","283","3.9","41","2","2","50","45","264","5.9","0","0","13","66.7","5.1","39.4%"
"55","Michael Carter (ARI)","92","333","3.6","22","2","1","45","33","267","8.1","0","0","13","66.0","5.1","49.7%"
"56","Samaje Perine (CIN)","84","382","4.5","32","2","3","21","17","87","5.1","0","2","15","60.9","4.1","4.7%"
"57","Dylan Sampson (CLE)","65","175","2.7","26","1","0","40","33","271","8.2","2","1","15","54.6","3.6","29.7%"
"58","Brian Robinson Jr. (SF)","92","400","4.3","19","0","2","12","8","25","3.1","0","0","17","54.5","3.2","44.3%"
"59","Ray Davis (BUF)","58","275","4.7","23","1","0","13","10","86","8.6","2","0","17","54.1","3.2","6.8%"
"60","Tank Bigsby (PHI)","63","356","5.7","29","2","2","4","3","32","10.7","0","0","16","50.8","3.2","32.7%"
"61","Isaiah Davis (NYJ)","43","236","5.5","50","2","1","28","21","186","8.9","0","0","16","50.2","3.1","5.4%"
"62","Jeremy McNichols (WAS)","44","221","5.0","60","1","1","31","25","196","7.8","0","1","17","47.7","2.8","2.1%"
"63","Ollie Gordon II (MIA)","70","199","2.8","20","1","3","9","7","32","4.6","1","0","17","47.1","2.8","8.3%"
"64","Keaton Mitchell (BAL)","59","341","5.8","55","4","1","12","9","63","7.0","0","0","13","46.4","3.6","5.8%"
"65","Emari Demercado (ARI)","44","312","7.1","71","2","0","20","13","101","7.8","1","1","13","45.3","3.5","11.4%"
"66","Justice Hill (BAL)","18","93","5.2","71","1","2","27","21","169","8.0","1","0","10","44.2","4.4","8.9%"
"67","Jaylen Wright (MIA)","70","288","4.1","32","1","2","9","5","44","8.8","0","1","11","43.2","3.9","14.0%"
"68","Devin Neal (NO)","57","206","3.6","21","1","2","19","17","104","6.1","0","0","9","43.0","4.8","36.6%"
"69","Malik Davis (DAL)","52","250","4.8","43","3","2","5","2","16","8.0","0","0","10","38.6","3.9","2.9%"
"70","Brashard Smith (KC)","44","151","3.4","14","0","0","35","25","172","6.9","1","0","17","38.3","2.3","3.9%"
"71","Audric Estime (NO)","46","198","4.3","32","1","1","13","12","103","8.6","0","0","7","36.1","5.2","19.8%"
"72","Kyle Juszczyk (SF)","2","-3","-1.5","0","0","0","28","24","213","8.9","2","0","17","33.0","1.9","0.8%"
"73","Kendre Miller (NO)","47","193","4.1","18","0","1","5","5","30","6.0","0","0","7","28.3","4.0","4.0%"
"74","Jaleel McLaughlin (DEN)","37","187","5.1","16","0","1","6","4","27","6.8","0","0","8","27.4","3.4","1.9%"
"75","James Conner (ARI)","32","95","3.0","12","0","1","9","8","38","4.8","1","0","4","25.3","6.3","45.4%"
"76","Zavier Scott (MIN)","32","114","3.6","11","0","0","16","14","98","7.0","1","1","11","25.2","2.3","0.7%"
"77","Hunter Luepke (DAL)","16","71","4.4","9","0","0","15","13","109","8.4","1","0","17","24.0","1.4","0.7%"
"78","Jaret Patterson (LAC)","41","159","3.9","22","1","1","4","3","8","2.7","0","0","6","22.7","3.8","0.6%"
"79","Jawhar Jordan (HOU)","43","193","4.5","50","1","0","7","7","34","4.9","0","0","4","22.7","5.7","5.4%"
"80","Trey Benson (ARI)","29","160","5.5","52","2","0","16","13","64","4.9","0","0","5","22.4","4.5","39.6%"
"81","Antonio Gibson (NE)","25","106","4.2","21","1","1","3","2","6","3.0","0","1","5","21.2","4.2","1.3%"
"82","Ameer Abdullah (IND)","14","60","4.3","14","0","1","17","16","99","6.2","0","1","13","19.9","1.5","0.8%"
"83","Chris Brooks (GB)","27","106","3.9","12","0","0","17","13","91","7.0","0","0","17","19.7","1.2","2.1%"
"84","Jaydon Blue (DAL)","38","129","3.4","27","1","1","1","1","5","5.0","0","0","5","19.4","3.9","10.3%"
"85","George Holani (SEA)","22","73","3.3","9","0","1","2","2","15","7.5","0","1","10","18.8","1.9","0.1%"
"86","Miles Sanders (DAL)","20","117","5.9","49","1","1","8","8","30","3.8","0","1","4","18.7","4.7","1.6%"
"87","Jerome Ford (CLE)","24","73","3.0","12","0","0","32","26","103","4.0","0","0","13","17.6","1.4","19.2%"
"88","Raheem Mostert (LV)","22","104","4.7","37","1","0","12","12","70","5.8","0","0","12","17.4","1.5","1.6%"
"89","Raheim Sanders (CLE)","27","92","3.4","14","0","1","4","3","21","7.0","0","0","5","17.3","3.5","2.4%"
"90","Tyler Badie (DEN)","8","23","2.9","7","0","0","31","19","141","7.4","0","0","16","16.4","1.0","0.9%"
"91","Rasheen Ali (BAL)","7","24","3.4","9","0","0","11","9","68","7.6","1","0","15","15.2","1.0","0.6%"
"92","LeQuint Allen Jr. (JAC)","23","94","4.1","12","0","0","11","10","54","5.4","0","0","17","14.8","0.9","0.7%"
"93","Terrell Jennings (NE)","23","73","3.2","11","0","1","1","1","9","9.0","0","0","6","14.2","2.4","1.9%"
"94","Dare Ogunbowale (HOU)","11","25","2.3","9","0","1","13","10","76","7.6","0","1","17","14.1","0.8","0.8%"
"95","C.J. Ham (MIN)","3","5","1.7","3","0","2","2","2","11","5.5","0","0","11","13.6","1.2","0.6%"
"96","Braelon Allen (NYJ)","18","76","4.2","15","0","1","3","2","17","8.5","0","1","4","13.3","3.3","10.9%"
"97","Kene Nwangwu (NYJ)","13","49","3.8","16","0","0","1","0","0","0","0","0","10","10.9","1.1","0.1%"
"98","Brittain Brown (CHI)","5","37","7.4","22","1","1","1","0","0","0","0","0","2","9.7","4.9","0.7%"
"99","Adam Prentice (DEN)","10","44","4.4","18","0","0","8","6","53","8.8","0","0","17","9.7","0.6","0.0%"
"100","DJ Giddens (IND)","26","96","3.7","12","0","0","2","0","0","0","0","0","9","9.6","1.1","1.8%"
"101","Trayveon Williams (CLE)","10","36","3.6","11","0","0","9","8","55","6.9","0","0","7","9.1","1.3","0.1%"
"102","Phil Mafah (DAL)","5","18","3.6","8","0","1","2","2","11","5.5","0","0","1","8.9","8.9","0.6%"
"103","Trevor Etienne (CAR)","20","94","4.7","22","1","0","3","3","13","4.3","0","1","17","8.7","0.5","1.3%"
"104","Najee Harris (LAC)","15","61","4.1","7","0","0","3","3","25","8.3","0","0","3","8.6","2.9","7.2%"
"105","Will Shipley (PHI)","14","49","3.5","20","1","0","12","9","56","6.2","0","1","15","8.5","0.6","3.0%"
"106","Austin Ekeler (WAS)","14","43","3.1","6","0","0","7","5","38","7.6","0","0","3","8.1","2.7","31.3%"
"107","Kaleb Johnson (PIT)","28","69","2.5","9","0","0","2","1","9","9.0","0","0","10","7.8","0.8","14.7%"
"108","British Brooks (HOU)","17","78","4.6","20","1","0","0","0","0","0","0","0","13","7.8","0.6","0.0%"
"109","Corey Kiner (ARI)","12","58","4.8","9","0","0","3","2","15","7.5","0","0","4","7.3","1.8","1.0%"
"110","Cam Akers (SEA)","5","19","3.8","14","0","0","1","0","0","0","0","0","4","7.2","1.8","0.7%"
"111","A.J. Dillon (PHI)","12","60","5.0","11","0","0","3","3","21","7.0","0","1","7","6.1","0.9","1.3%"
"112","Alec Ingold (MIA)","2","9","4.5","6","0","0","11","8","52","6.5","0","0","17","6.1","0.4","0.6%"
"113","Hassan Haskins (LAC)","17","47","2.8","10","0","0","4","4","13","3.3","0","0","13","6.0","0.5","1.3%"
"114","Ty Chandler (MIN)","17","47","2.8","5","0","0","4","3","11","3.7","0","0","3","5.8","1.9","0.9%"
"115","Khalil Herbert (NYJ)","16","52","3.3","7","0","0","4","1","4","4.0","0","0","5","5.6","1.1","1.1%"
"116","Zamir White (LV)","12","32","2.7","9","0","0","6","4","24","6.0","0","0","5","5.6","1.1","0.9%"
"117","Tahj Brooks (CIN)","16","45","2.8","7","0","0","2","1","9","9.0","0","0","12","5.4","0.5","1.5%"
"118","Evan Hull (NO)","19","48","2.5","8","0","0","1","1","6","6.0","0","0","6","5.4","0.9","1.1%"
"119","Ronnie Rivers (LAR)","9","46","5.1","9","0","0","0","0","0","0","0","0","7","4.6","0.7","0.6%"
"120","Julius Chestnut (TEN)","11","40","3.6","27","1","0","2","0","0","0","0","0","17","4.0","0.2","1.1%"
"121","Nathan Carter (ATL)","9","60","6.7","12","0","0","0","0","0","0","0","1","4","4.0","1.0","0.0%"
"122","Dameon Pierce (KC)","14","36","2.6","10","0","0","1","0","0","0","0","0","5","3.6","0.7","3.6%"
"123","Tyler Goodson (IND)","9","24","2.7","6","0","0","3","2","8","4.0","0","0","11","3.2","0.3","0.7%"
"124","Reggie Gilliam (BUF)","2","4","2.0","5","0","0","2","2","24","12.0","0","0","17","2.8","0.2","0.0%"
"125","D'Ernest Johnson (NE)","14","25","1.8","5","0","0","0","0","0","0","0","0","6","2.5","0.4","1.0%"
"126","Clyde Edwards-Helaire (FA)","7","13","1.9","7","0","0","2","2","9","4.5","0","0","2","2.2","1.1","0.6%"
"127","DeeJay Dallas (JAC)","3","21","7.0","17","0","0","1","0","0","0","0","0","5","2.1","0.4","0.0%"
"128","Jacardia Wright (SEA)","5","20","4.0","10","0","0","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"129","Roschon Johnson (CHI)","2","17","8.5","11","0","0","0","0","0","0","0","0","6","1.7","0.3","1.8%"
"130","Josh Williams (TB)","4","11","2.8","4","0","0","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"131","Patrick Ricard (BAL)","1","3","3.0","3","0","0","2","1","8","8.0","0","0","12","1.1","0.1","1.4%"
"132","Jacob Saylors (DET)","2","11","5.5","9","0","0","0","0","0","0","0","0","11","1.1","0.1","0.1%"
"133","Amar Johnson (LAC)","2","8","4.0","6","0","0","1","0","0","0","0","0","1","0.8","0.8","0.0%"
"134","Dylan Laube (LV)","7","9","1.3","3","0","0","4","3","18","6.0","0","1","17","0.7","0.0","0.6%"
"135","Kalel Mullings (TEN)","3","7","2.3","4","0","0","0","0","0","0","0","0","5","0.7","0.1","0.6%"
"136","Owen Wright (TB)","3","6","2.0","4","0","0","0","0","0","0","0","0","3","0.6","0.2","0.0%"
"137","Myles Gaskin (FA)","3","6","2.0","3","0","0","0","0","0","0","0","0","1","0.6","0.6","0.0%"
