"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Saquon Barkley","PHI","336.4","1,683.6","11.1","43.2","331.1","2.2","1.4","278.2"
"Bijan Robinson","ATL","304.8","1,421.8","11.4","58.9","447.2","2.2","1.4","266.1"
"Jahmyr Gibbs","DET","240.2","1,240.4","11.7","58.2","511.9","2.8","1.3","259.5"
"Derrick Henry","BAL","306.2","1,554.4","13.7","16.3","153.0","0.9","1.4","255.8"
"Christian McCaffrey","SF","245.5","1,110.9","8.1","64.6","556.9","3.5","1.8","233.0"
"Jonathan Taylor","IND","310.7","1,413.1","10.7","28.5","204.2","1.3","1.6","230.3"
"Josh Jacobs","GB","291.0","1,234.2","11.5","38.0","315.0","1.5","1.5","229.5"
"Kyren Williams","LAR","291.7","1,249.3","11.6","33.5","212.9","1.7","2.3","221.3"
"Ashton Jeanty","LV","272.9","1,227.7","9.3","45.9","361.5","1.9","2.4","221.1"
"De'Von Achane","MIA","217.9","1,014.6","7.6","68.5","505.7","3.9","1.3","218.3"
"Bucky Irving","TB","245.1","1,161.9","8.5","45.3","352.7","1.7","1.4","209.9"
"Chase Brown","CIN","244.7","1,033.1","8.4","57.8","406.6","2.8","1.4","208.6"
"James Cook III","BUF","232.5","1,090.0","9.8","31.6","258.7","1.9","1.4","202.1"
"James Conner","ARI","223.0","1,004.1","8.2","42.4","325.4","1.7","1.4","189.9"
"Chuba Hubbard","CAR","252.3","1,109.6","8.2","40.9","246.5","1.1","1.8","187.6"
"Omarion Hampton","LAC","225.5","985.6","8.7","35.2","273.0","1.5","2.1","182.8"
"Alvin Kamara","NO","218.7","897.3","5.4","62.7","478.0","2.0","1.3","179.6"
"Breece Hall","NYJ","218.4","977.9","5.8","46.0","376.5","1.9","1.6","178.7"
"Kenneth Walker III","SEA","233.4","948.3","8.0","43.0","308.1","1.3","1.3","178.4"
"Tony Pollard","TEN","251.4","1,050.8","5.9","42.9","275.0","0.9","1.0","171.6"
"TreVeyon Henderson","NE","222.7","968.6","6.3","36.6","284.3","1.8","1.7","170.3"
"David Montgomery","DET","199.2","837.1","9.0","31.7","260.2","0.9","1.0","167.1"
"D'Andre Swift","CHI","237.6","963.2","6.1","36.6","283.2","1.2","1.1","166.6"
"Aaron Jones Sr.","MIN","198.8","888.8","4.5","44.3","327.1","2.3","1.8","158.6"
"RJ Harvey","DEN","192.4","827.7","5.8","35.3","269.9","1.7","1.3","152.0"
"Isiah Pacheco","KC","207.7","857.2","6.0","34.1","234.0","1.1","1.0","149.7"
"Kaleb Johnson","PIT","206.6","864.2","6.6","22.9","175.3","1.0","1.7","146.1"
"Tyrone Tracy Jr.","NYG","192.7","830.6","5.4","36.0","268.2","1.1","1.6","145.5"
"Jaylen Warren","PIT","148.9","666.0","3.6","49.8","361.3","1.2","1.1","129.1"
"Jacory Croskey-Merritt","WAS","163.9","693.6","5.8","22.7","179.4","1.3","0.9","128.1"
"Austin Ekeler","WAS","108.8","487.9","4.7","47.0","384.1","1.8","1.4","123.4"
"Zach Charbonnet","SEA","135.9","586.2","4.9","36.0","267.2","1.0","0.8","119.2"
"J.K. Dobbins","DEN","147.2","655.3","4.8","29.6","189.7","1.2","1.2","118.0"
"Jordan Mason","MIN","164.2","755.5","4.7","16.2","118.4","0.5","0.7","117.1"
"Javonte Williams","DAL","167.4","641.6","4.4","34.3","219.9","0.9","0.6","116.6"
"Rhamondre Stevenson","NE","153.0","620.8","5.0","27.8","176.8","1.1","1.5","113.2"
"Travis Etienne Jr.","JAC","140.2","573.1","3.8","36.9","272.9","1.1","0.8","112.3"
"Joe Mixon","HOU","143.4","569.8","4.9","24.6","197.3","1.1","0.8","111.4"
"Jerome Ford","CLE","142.7","589.0","3.1","34.3","238.4","1.1","0.8","106.3"
"Nick Chubb","HOU","133.6","565.8","4.8","11.9","90.7","1.0","0.5","98.8"
"Tank Bigsby","PHI","150.5","618.7","5.0","10.6","76.9","0.2","1.1","98.3"
"Quinshon Judkins","CLE","127.0","543.7","3.6","21.7","168.3","0.9","1.2","96.1"
"Rachaad White","TB","104.6","420.7","2.7","35.7","269.8","2.1","1.3","95.3"
"Cam Skattebo","NYG","122.3","523.4","3.5","23.8","185.0","1.0","1.2","95.0"
"Trey Benson","ARI","129.4","581.4","3.8","16.5","125.8","0.5","0.9","94.9"
"Dylan Sampson","CLE","125.0","518.5","3.0","22.8","178.6","0.9","0.8","92.0"
"Jaydon Blue","DAL","113.8","496.2","3.1","22.9","176.6","0.9","0.8","89.4"
"Najee Harris","LAC","124.6","484.2","3.8","17.7","130.0","0.7","0.8","86.9"
"Tyler Allgeier","ATL","121.3","555.1","3.3","13.8","102.1","0.4","0.8","86.4"
"Ray Davis","BUF","114.6","485.6","3.7","12.4","105.6","1.0","0.8","85.2"
"Bhayshul Tuten","JAC","106.6","448.9","3.1","18.5","145.1","0.9","0.9","81.3"
"Braelon Allen","NYJ","116.6","440.4","3.0","16.8","126.5","0.8","0.4","78.7"
"Rico Dowdle","CAR","93.1","416.2","2.4","22.4","151.8","1.1","0.8","76.0"
"Tyjae Spears","TEN","83.1","335.3","2.5","28.4","212.0","1.0","0.5","74.9"
"Kendre Miller","NO","110.2","416.5","3.7","12.0","90.0","0.2","0.5","73.0"
"Kareem Hunt","KC","80.8","323.1","3.3","21.3","149.2","0.8","0.1","71.8"
"Ollie Gordon II","MIA","96.7","410.2","3.4","12.4","94.9","0.5","1.1","71.6"
"Brian Robinson Jr.","SF","106.3","427.0","3.5","8.1","66.5","0.4","1.2","70.4"
"Roschon Johnson","CHI","86.7","300.8","4.2","14.9","98.1","0.4","0.1","67.6"
"Jaylen Wright","MIA","108.2","426.9","2.8","10.5","71.2","0.5","1.1","67.0"
"Blake Corum","LAR","93.4","347.4","2.3","12.6","93.1","0.3","0.4","59.1"
"MarShawn Lloyd","GB","87.5","313.9","2.5","11.0","88.3","0.6","0.4","58.3"
"Justice Hill","BAL","41.9","185.3","1.2","27.3","221.2","1.7","0.4","56.6"
"Raheem Mostert","LV","77.2","278.3","2.4","16.3","121.0","0.6","0.8","56.1"
"Keaton Mitchell","BAL","66.1","322.4","1.7","9.1","85.5","0.5","0.0","54.0"
"Miles Sanders","DAL","92.8","342.5","2.0","10.0","61.9","0.3","0.5","53.7"
"Chris Rodriguez Jr.","WAS","70.4","318.3","2.9","5.3","40.3","0.1","0.4","53.5"
"Woody Marks","HOU","58.4","234.6","1.6","19.4","144.5","0.8","0.1","52.2"
"Tahj Brooks","CIN","66.1","266.1","2.1","12.4","103.6","0.7","1.0","51.8"
"Ty Johnson","BUF","45.2","206.0","0.9","15.1","165.3","1.5","0.1","51.4"
"Samaje Perine","CIN","49.5","201.6","1.3","18.4","161.8","0.9","0.7","48.4"
"Zamir White","LV","67.9","263.3","1.6","11.5","80.5","0.4","0.1","46.0"
"Kyle Monangai","CHI","44.3","265.6","2.4","6.4","45.5","0.1","0.1","45.7"
"Jarquez Hunter","LAR","61.6","250.9","2.0","7.1","61.3","0.4","0.7","44.4"
"Antonio Gibson","NE","50.6","213.4","1.0","16.4","133.2","0.5","0.0","43.6"
"Devin Neal","NO","53.6","247.8","1.7","8.3","61.6","0.4","0.1","43.3"
"Kenneth Gainwell","PIT","59.5","229.6","1.6","12.7","89.7","0.4","0.4","43.3"
"Isaac Guerendo","SF","50.1","239.7","1.9","7.5","67.2","0.1","0.4","41.8"
"Khalil Herbert","NYJ","98.1","229.3","1.6","8.3","50.4","0.3","0.0","39.3"
"Devin Singletary","NYG","52.0","236.7","1.5","9.3","63.5","0.1","0.4","39.3"
"Will Shipley","PHI","40.2","214.5","1.4","9.2","68.1","0.5","0.1","38.9"
"Trevor Etienne","CAR","48.3","192.8","1.5","10.8","87.7","0.4","0.4","38.7"
"Jaleel McLaughlin","DEN","39.6","169.3","0.9","18.1","109.8","0.9","0.5","37.8"
"Emanuel Wilson","GB","43.0","207.1","1.4","7.9","57.1","0.4","0.4","36.8"
"Sean Tucker","TB","45.2","232.1","1.4","5.3","41.0","0.4","0.7","36.3"
"Tyler Goodson","IND","52.6","180.9","1.1","5.7","37.8","0.4","0.0","30.5"
"DJ Giddens","IND","23.7","163.2","1.3","7.6","56.1","0.1","0.0","30.3"
"Dameon Pierce","KC","38.1","183.3","1.2","7.6","50.7","0.2","0.8","29.9"
"Julius Chestnut","TEN","36.7","144.3","0.8","10.2","74.4","0.3","0.0","28.8"
"A.J. Dillon","PHI","37.0","154.1","1.3","3.5","28.2","0.1","0.0","26.5"
"Hassan Haskins","LAC","28.3","117.6","0.9","7.7","58.8","0.5","0.3","25.2"
"Isaiah Davis","NYJ","30.8","152.1","0.9","4.9","35.6","0.1","0.0","24.5"
"Zavier Scott","MIN","32.0","153.0","1.0","3.0","29.0","0.0","0.0","24.2"
"Chris Brooks","GB","27.4","136.6","0.9","7.3","48.5","0.1","0.0","24.1"
"Kyle Juszczyk","SF","5.9","24.2","0.3","14.4","136.8","0.8","0.4","22.4"
"Brashard Smith","KC","14.4","91.4","0.6","8.5","63.1","0.5","0.0","21.8"
"Kalel Mullings","TEN","28.5","118.9","0.9","4.2","32.3","0.1","0.0","20.9"
"Kimani Vidal","LAC","39.6","95.1","0.5","6.4","48.8","0.4","0.0","19.7"
"Emari Demercado","ARI","18.7","106.3","0.4","8.1","53.9","0.1","0.0","19.1"
"Ty Chandler","MIN","19.3","97.3","0.7","4.9","34.4","0.1","0.0","17.8"
"Jeremy McNichols","WAS","21.9","93.0","1.1","2.7","15.3","0.0","0.0","17.7"
"George Holani","SEA","8.8","98.0","0.6","3.0","21.9","0.0","0.0","15.8"
"LeQuint Allen Jr.","JAC","17.0","60.6","0.7","3.5","25.4","0.1","0.0","13.1"
"Craig Reynolds","NE","8.5","38.0","0.1","6.8","54.3","0.4","0.0","12.2"
"Alec Ingold","MIA","9.0","21.8","0.6","6.1","44.1","0.4","0.4","11.7"
"Travis Homer","CHI","19.5","63.5","0.3","3.3","24.9","0.1","0.0","11.2"
"Phil Mafah","DAL","0.0","61.5","0.5","1.5","11.0","0.0","0.0","10.3"
"C.J. Ham","MIN","2.2","10.4","1.0","3.6","25.7","0.0","0.0","9.9"
"Jordan James","SF","18.2","63.0","0.4","1.0","12.0","0.0","0.0","9.8"
"Raheim Sanders","CLE","14.0","56.0","0.5","1.5","11.5","0.0","0.0","9.8"
"Dare Ogunbowale","HOU","4.0","31.1","0.1","5.3","39.9","0.2","0.0","8.3"
"Nathan Carter","ATL","9.3","39.1","0.3","2.1","14.2","0.1","0.1","7.6"
"Patrick Ricard","BAL","4.1","11.5","0.1","3.4","27.3","0.5","0.0","7.4"
"Terrell Jennings","NE","4.8","20.1","0.1","3.8","29.1","0.2","0.0","6.7"
"Eric Gray","NYG","11.8","42.6","0.2","1.9","14.3","0.1","0.5","6.0"
"Bam Knight","ARI","4.6","19.5","0.1","3.1","22.5","0.1","0.0","5.8"
"Rasheen Ali","BAL","5.2","33.4","0.1","1.4","10.2","0.1","0.0","5.1"
"Hunter Luepke","DAL","4.2","14.3","0.1","3.9","26.6","0.1","0.0","4.9"
"Dylan Laube","LV","4.0","29.4","0.1","2.0","14.5","0.0","0.0","4.7"
"Deuce Vaughn","DEN","0.0","31.0","0.0","1.0","8.0","0.0","0.0","3.9"
