"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","145","24","105","1,416","13.5","23","11","0","0","0","1","15","207.8","13.9","93.5%"
"2","Darren Waller (MIA)","145","26.4","107","1,196","11.2","16","9","0","0","0","2","16","171.6","10.7","43.1%"
"3","Robert Tonyan (KC)","59","9.7","52","586","11.3","9","11","0","0","0","0","16","124.6","7.8","0.0%"
"4","Mark Andrews (BAL)","88","23.1","58","701","12.1","10","7","0","0","0","0","14","112.1","8.0","81.3%"
"5","T.J. Hockenson (MIN)","101","20.5","67","723","10.8","6","6","1","0","0","1","16","108.3","6.8","74.8%"
"6","Mike Gesicki (CIN)","85","15.1","53","703","13.3","10","6","0","0","0","0","15","106.3","7.1","7.0%"
"7","Logan Thomas (FA)","110","0","72","670","9.3","5","6","3","5","0","0","16","104.6","6.5","0.0%"
"8","Rob Gronkowski (FA)","77","0","45","623","13.8","10","7","0","0","0","0","16","104.3","6.5","1.3%"
"9","Jonnu Smith (PIT)","65","10","41","448","10.9","4","8","2","4","1","0","15","99.2","6.6","31.7%"
"10","Jimmy Graham (FA)","76","0","50","456","9.1","4","8","0","0","0","0","16","93.6","5.9","0.1%"
"11","Hayden Hurst (FA)","88","0","56","571","10.2","5","6","0","0","0","0","16","93.1","5.8","1.3%"
"12","Jared Cook (FA)","60","0","37","504","13.6","6","7","0","0","0","1","15","90.4","6.0","0.0%"
"13","Noah Fant (CIN)","93","16.5","62","673","10.9","8","3","0","0","0","0","15","87.3","5.8","2.6%"
"14","Eric Ebron (FA)","91","0","56","558","10.0","6","5","0","0","0","1","15","85.8","5.7","0.0%"
"15","Hunter Henry (NE)","93","22.4","60","613","10.2","5","4","0","0","0","0","14","85.3","6.1","71.2%"
"16","Tyler Higbee (LAR)","60","10.9","44","521","11.8","9","5","1","1","0","0","15","84.2","5.6","3.1%"
"17","Dalton Schultz (HOU)","89","17.1","63","615","9.8","3","4","0","0","0","1","16","83.5","5.2","56.9%"
"18","Evan Engram (DEN)","109","20.7","63","654","10.4","6","1","6","26","1","1","16","78.0","4.9","55.8%"
"19","George Kittle (SF)","63","11.3","48","634","13.2","8","2","2","17","0","0","8","77.1","9.6","96.3%"
"20","Dallas Goedert (PHI)","65","11.7","46","524","11.4","7","3","0","0","0","0","11","70.4","6.4","89.5%"
"21","Irv Smith Jr. (FA)","43","0","30","365","12.2","6","5","0","0","0","0","13","68.5","5.3","0.0%"
"22","Austin Hooper (NE)","70","16.9","46","435","9.5","3","4","0","0","0","0","13","67.5","5.2","0.6%"
"23","Dan Arnold (FA)","45","0","31","438","14.1","8","4","0","0","0","1","16","65.8","4.1","0.0%"
"24","Trey Burton (FA)","47","0","28","250","8.9","1","3","2","3","2","0","13","55.3","4.3","0.0%"
"25","Darren Fells (FA)","28","0","21","312","14.9","3","4","0","0","0","0","16","55.2","3.5","0.0%"
"26","Gerald Everett (FA)","62","0","41","417","10.2","3","1","1","2","1","1","16","51.9","3.2","1.4%"
"27","Mo Alie-Cox (IND)","39","7.4","31","394","12.7","6","2","0","0","0","1","15","49.4","3.3","0.6%"
"28","Jordan Reed (FA)","46","0","26","231","8.9","1","4","0","0","0","0","10","47.1","4.7","19.0%"
"29","Tyler Eifert (FA)","60","0","36","349","9.7","1","2","0","0","0","0","15","46.9","3.1","0.0%"
"30","Jordan Akins (FA)","49","0","37","403","10.9","7","1","1","4","0","0","13","46.7","3.6","1.0%"
"31","Richard Rodgers (FA)","31","0","24","345","14.4","5","2","0","0","0","0","14","46.5","3.3","0.0%"
"32","Anthony Firkser (DET)","53","10","39","387","9.9","4","1","0","0","0","0","16","44.7","2.8","0.0%"
"33","Dawson Knox (BUF)","44","7.6","24","288","12.0","3","3","0","0","0","2","12","42.8","3.6","3.2%"
"34","Chris Herndon IV (FA)","46","0","31","287","9.3","3","3","0","0","0","2","16","42.7","2.7","0.0%"
"35","Zach Ertz (WAS)","72","12.3","36","335","9.3","4","1","0","0","0","0","11","41.5","3.8","40.0%"
"36","Jack Doyle (FA)","33","0","23","251","10.9","2","3","0","0","0","1","14","41.1","2.9","2.0%"
"37","Jacob Hollister (FA)","40","0","25","209","8.4","1","3","0","0","0","0","16","40.9","2.6","1.0%"
"38","Cameron Brate (FA)","34","0","28","282","10.1","2","2","0","0","0","0","16","40.2","2.5","2.0%"
"39","Drew Sample (CIN)","53","9.6","40","349","8.7","1","1","0","0","0","1","16","38.9","2.4","1.0%"
"40","Harrison Bryant (HOU)","38","7.4","24","238","9.9","1","3","0","0","0","2","15","37.8","2.5","0.0%"
"41","Kyle Rudolph (FA)","37","0","28","334","11.9","5","1","0","0","0","1","12","37.4","3.1","1.0%"
"42","Will Dissly (LAC)","29","4.8","24","251","10.5","3","2","0","0","0","0","16","37.1","2.3","0.6%"
"43","Cole Kmet (CHI)","44","7.5","28","243","8.7","1","2","1","-3","0","1","16","34.0","2.1","4.0%"
"44","Donald Parham Jr. (PIT)","20","3.4","10","159","15.9","4","3","0","0","0","0","13","33.9","2.6","1.0%"
"45","David Njoku (CLE)","29","6.1","19","213","11.2","4","2","0","0","0","0","13","33.3","2.6","57.6%"
"46","Adam Shaheen (FA)","22","0","12","150","12.5","2","3","0","0","0","0","16","33.0","2.1","0.0%"
"47","Durham Smythe (CHI)","29","4.8","26","208","8.0","0","2","0","0","0","0","15","32.8","2.2","1.1%"
"48","Ross Dwelley (FA)","24","0","19","245","12.9","3","1","0","0","0","0","16","30.5","1.9","0.1%"
"49","Greg Olsen (FA)","37","0","24","239","10.0","3","1","0","0","0","0","11","29.9","2.7","7.0%"
"50","Tyler Kroft (FA)","16","0","12","119","9.9","1","3","0","0","0","0","10","29.9","3.0","0.0%"
"51","Marcedes Lewis (DEN)","17","3.4","10","107","10.7","1","3","0","0","0","0","15","28.7","1.9","0.0%"
"52","Pharaoh Brown (ARI)","16","3.3","14","163","11.6","2","2","0","0","0","0","13","28.3","2.2","0.0%"
"53","O.J. Howard (FA)","19","0","11","146","13.3","2","2","0","0","0","0","4","26.6","6.7","0.0%"
"54","James O'Shaughnessy (FA)","38","0","28","262","9.4","3","0","0","0","0","0","15","26.2","1.7","0.0%"
"55","Foster Moreau (NO)","9","1.8","7","140","20.0","4","2","0","0","0","0","16","26.0","1.6","1.2%"
"56","Tyler Conklin (LAC)","26","4.3","19","194","10.2","2","1","0","0","0","0","16","25.4","1.6","0.9%"
"57","Jesse James (FA)","22","0","14","129","9.2","2","2","0","0","0","0","16","24.9","1.6","0.0%"
"58","Nick Boyle (FA)","17","0","14","113","8.1","1","2","0","0","0","0","9","23.3","2.6","0.0%"
"59","Adam Trautman (DEN)","16","3.2","15","171","11.4","2","1","0","0","0","0","15","23.1","1.5","0.7%"
"60","Ian Thomas (LV)","31","6.2","20","145","7.3","1","1","0","0","0","0","16","20.5","1.3","0.0%"
"61","Jason Witten (FA)","17","0","13","69","5.3","0","2","0","0","0","0","16","18.9","1.2","1.0%"
"62","Albert Okwuegbunam Jr. (LV)","15","2.9","11","121","11.0","1","1","0","0","0","0","4","18.1","4.5","0.0%"
"63","Ryan Izzo (FA)","20","0","13","199","15.3","3","0","0","0","0","1","12","17.9","1.5","0.0%"
"64","Jace Sternberger (FA)","15","0","12","114","9.5","2","1","0","0","0","0","12","17.4","1.5","0.0%"
