"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Brock Bowers","LV","105.1","1,115.4","6.1","0.5","148.1"
"George Kittle","SF","75.2","1,014.6","7.4","0.5","144.8"
"Trey McBride","ARI","103.9","1,051.0","5.8","0.5","139.3"
"Sam LaPorta","DET","69.9","785.3","7.0","0.4","119.5"
"Mark Andrews","BAL","58.9","700.5","7.7","0.8","114.7"
"Travis Kelce","KC","81.3","776.3","5.3","0.9","107.7"
"T.J. Hockenson","MIN","72.6","762.5","4.6","0.5","102.7"
"David Njoku","CLE","76.3","736.8","4.9","0.8","101.6"
"Tyler Warren","IND","63.2","679.1","4.7","1.1","95.1"
"Tucker Kraft","GB","55.5","653.6","4.8","0.8","92.6"
"Kyle Pitts Sr.","ATL","51.2","648.4","4.2","0.1","90.2"
"Evan Engram","DEN","70.4","628.1","4.2","0.9","86.2"
"Dallas Goedert","PHI","57.5","634.2","3.9","0.5","86.1"
"Zach Ertz","WAS","58.3","540.9","5.1","0.1","84.7"
"Dalton Kincaid","BUF","57.3","603.2","4.0","0.5","83.6"
"Jake Ferguson","DAL","67.9","621.0","3.8","1.3","82.4"
"Hunter Henry","NE","54.4","568.5","3.9","0.4","79.3"
"Colston Loveland","CHI","54.3","569.6","3.8","1.1","77.4"
"Cade Otton","TB","50.4","515.6","4.1","0.5","75.3"
"Brenton Strange","JAC","55.2","548.8","3.5","0.5","74.9"
"Jonnu Smith","PIT","51.4","530.9","3.8","0.9","74.5"
"Chig Okonkwo","TEN","56.5","563.5","3.2","0.8","74.3"
"Isaiah Likely","BAL","39.5","468.3","4.6","0.7","73.2"
"Darren Waller","MIA","49.0","540.8","3.1","0.1","72.7"
"Mike Gesicki","CIN","50.8","501.3","3.4","0.4","69.8"
"Dalton Schultz","HOU","48.8","503.8","3.2","0.4","68.6"
"Mason Taylor","NYJ","51.5","518.0","3.0","0.8","68.2"
"Juwan Johnson","NO","47.0","486.4","3.2","0.2","67.4"
"Pat Freiermuth","PIT","50.9","488.4","3.4","0.9","67.4"
"Theo Johnson","NYG","46.5","507.7","2.8","0.1","67.3"
"Tyler Higbee","LAR","45.2","423.9","3.7","0.1","64.2"
"Robbie Ouzts","SEA","49.0","481.0","3.0","1.0","64.1"
"Elijah Arroyo","SEA","40.0","424.1","2.8","0.4","58.6"
"Ja'Tavion Sanders","CAR","44.2","442.4","2.4","0.1","58.5"
"Will Dissly","LAC","38.4","376.9","2.5","0.1","52.8"
"Noah Fant","CIN","37.2","381.0","2.4","0.1","52.7"
"Noah Gray","KC","30.1","307.9","2.8","0.1","47.3"
"Tyler Conklin","LAC","33.5","324.6","2.3","0.0","45.9"
"AJ Barner","SEA","32.3","305.6","2.4","0.1","44.8"
"Harold Fannin Jr.","CLE","30.7","303.4","1.8","0.4","40.2"
"Cole Kmet","CHI","28.4","272.7","2.3","0.4","40.1"
"Austin Hooper","NE","29.6","294.7","1.9","0.4","39.9"
"Michael Mayer","LV","28.5","262.1","1.8","0.1","36.8"
"Dawson Knox","BUF","21.9","237.8","1.9","0.0","35.2"
"Terrance Ferguson","LAR","23.0","235.4","1.9","0.4","34.1"
"Foster Moreau","NO","19.1","217.9","1.5","0.0","30.9"
