"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (LAR)","149","26.4","115","1,374","11.9","18","18","0","0","0","1","14","243.4","17.4","95.8%"
"2","Tyreek Hill (MIA)","135","24.6","87","1,276","14.7","20","15","13","123","2","0","15","241.9","16.1","46.5%"
"3","Stefon Diggs (NE)","166","39.7","127","1,535","12.1","20","8","1","1","0","0","16","201.6","12.6","93.8%"
"4","Calvin Ridley (TEN)","143","30.6","90","1,374","15.3","23","9","5","1","0","1","15","191.5","12.8","25.0%"
"5","DK Metcalf (PIT)","129","19.7","83","1,303","15.7","17","10","0","0","0","1","16","188.3","11.8","87.1%"
"6","Justin Jefferson (MIN)","125","25.8","88","1,400","15.9","23","7","1","2","0","0","16","186.2","11.6","99.3%"
"7","Adam Thielen (FA)","108","0","74","925","12.5","11","14","3","15","0","0","15","180.0","12.0","6.1%"
"8","Mike Evans (TB)","109","18.2","70","1,006","14.4","20","13","0","0","0","0","16","178.6","11.2","93.8%"
"9","A.J. Brown (PHI)","106","19.1","70","1,075","15.4","13","11","0","0","0","1","14","177.5","12.7","99.0%"
"10","DeAndre Hopkins (BAL)","160","41.8","115","1,407","12.2","17","6","1","1","0","2","16","172.8","10.8","4.3%"
"11","Tyler Lockett (LV)","132","25.3","100","1,054","10.5","10","10","0","0","0","0","16","165.4","10.3","3.6%"
"12","Allen Robinson II (FA)","151","0","102","1,250","12.3","22","6","1","-1","0","0","16","160.9","10.1","1.4%"
"13","Robert Woods (FA)","129","0","90","936","10.4","11","6","24","155","2","1","16","155.1","9.7","1.2%"
"14","Chase Claypool (FA)","109","0","62","873","14.1","14","9","10","16","2","1","16","152.9","9.6","1.1%"
"15","Marvin Jones Jr. (FA)","115","0","76","978","12.9","19","9","0","0","0","0","16","151.8","9.5","0.0%"
"16","Brandin Cooks (BUF)","119","21","81","1,150","14.2","20","6","0","0","0","0","15","151.0","10.1","1.9%"
"17","DJ Moore (CHI)","118","20.2","66","1,193","18.1","19","4","2","22","0","0","15","145.5","9.7","87.1%"
"18","Keenan Allen (LAC)","147","23.9","100","992","9.9","10","8","1","-1","0","2","14","145.1","10.4","73.5%"
"19","Amari Cooper (FA)","130","0","92","1,114","12.1","13","5","6","14","0","0","16","144.8","9.1","1.9%"
"20","CeeDee Lamb (DAL)","111","17.9","74","935","12.6","18","5","10","82","1","1","16","143.7","9.0","99.8%"
"21","Nelson Agholor (FA)","82","0","48","896","18.7","15","8","0","0","0","0","16","137.6","8.6","1.0%"
"22","JuJu Smith-Schuster (KC)","128","21","97","831","8.6","13","9","0","0","0","1","16","137.1","8.6","1.8%"
"23","Terry McLaurin (WAS)","134","23.2","87","1,118","12.9","17","4","2","30","0","1","15","136.8","9.1","93.4%"
"24","William Fuller V (FA)","75","0","53","879","16.6","14","8","1","0","0","0","11","135.9","12.4","0.0%"
"25","Curtis Samuel (BUF)","97","17.3","77","851","11.1","12","3","41","200","2","0","15","135.1","9.0","1.1%"
"26","Diontae Johnson (FA)","144","0","88","923","10.5","10","7","3","15","0","1","15","133.8","8.9","3.1%"
"27","Robbie Chosen (FA)","136","0","95","1,096","11.5","16","3","4","15","0","1","16","129.1","8.1","0.0%"
"28","Tee Higgins (CIN)","108","19.2","67","908","13.6","14","6","5","28","0","1","16","127.6","8.0","98.1%"
"29","Corey Davis (FA)","92","0","65","984","15.1","14","5","0","0","0","1","14","126.4","9.0","0.0%"
"30","Chris Godwin Jr. (TB)","84","14.1","65","840","12.9","13","7","0","0","0","0","12","126.0","10.5","73.7%"
"31","Cole Beasley (FA)","107","0","82","967","11.8","15","4","0","0","0","0","15","125.5","8.4","0.0%"
"32","Marquise Brown (KC)","100","16.5","58","769","13.3","13","8","1","1","0","0","16","125.0","7.8","23.1%"
"33","Brandon Aiyuk (SF)","96","17.3","60","748","12.5","10","5","6","77","2","0","12","124.5","10.4","33.9%"
"34","Cooper Kupp (SEA)","124","23","92","974","10.6","12","3","4","33","0","1","15","116.7","7.8","59.7%"
"35","Jarvis Landry (FA)","101","0","72","840","11.7","11","3","4","10","1","0","15","116.0","7.7","7.1%"
"36","Michael Gallup (FA)","105","0","59","843","14.3","11","5","0","0","0","0","16","114.3","7.1","1.1%"
"37","Tyler Boyd (FA)","110","0","79","841","10.6","7","4","5","49","0","0","15","113.6","7.6","1.2%"
"38","Jamison Crowder (FA)","89","0","59","699","11.8","9","6","1","14","0","0","12","113.0","9.4","1.0%"
"39","Tim Patrick (JAC)","79","13.7","51","742","14.5","14","6","0","0","0","0","15","110.2","7.3","1.1%"
"40","Russell Gage Jr. (FA)","109","0","72","786","10.9","6","4","2","9","0","0","16","109.1","6.8","0.0%"
"41","T.Y. Hilton (FA)","93","0","56","762","13.6","11","5","0","0","0","0","15","108.2","7.2","1.6%"
"42","Mike Williams (FA)","85","0","48","756","15.8","13","5","1","1","0","0","15","105.7","7.0","1.2%"
"43","Jerry Jeudy (CLE)","113","24.4","52","856","16.5","14","3","0","0","0","0","16","105.6","6.6","71.3%"
"44","Marquez Valdes-Scantling (PIT)","63","9.7","33","690","20.9","10","6","4","13","0","1","16","104.3","6.5","1.1%"
"45","Emmanuel Sanders (FA)","82","0","61","726","11.9","7","5","1","12","0","0","14","103.8","7.4","0.0%"
"46","DeVante Parker (FA)","103","0","63","793","12.6","10","4","0","0","0","0","14","103.3","7.4","0.0%"
"47","Gabe Davis (BUF)","62","11.1","35","599","17.1","10","7","1","0","0","0","16","101.9","6.4","1.1%"
"48","DJ Chark Jr. (FA)","93","0","53","706","13.3","10","5","0","0","0","0","13","100.6","7.7","1.3%"
"49","Keelan Cole Sr. (FA)","88","0","55","642","11.7","8","5","1","2","0","0","16","100.4","6.3","0.0%"
"50","Laviska Shenault Jr. (FA)","79","0","58","600","10.3","10","5","18","91","0","0","14","99.1","7.1","0.0%"
"51","Christian Kirk (HOU)","79","15.1","48","621","12.9","7","6","2","3","0","0","14","98.4","7.0","23.8%"
"52","Sterling Shepard (TB)","90","15","66","656","9.9","10","3","6","49","1","0","12","96.5","8.0","2.6%"
"53","Julio Jones (FA)","68","0","51","771","15.1","16","3","0","0","0","0","9","95.1","10.6","0.6%"
"54","Zach Pascal (FA)","71","0","44","629","14.3","13","5","0","0","0","0","16","92.9","5.8","0.0%"
"55","Darnell Mooney (ATL)","98","17.4","61","631","10.3","6","4","4","20","0","0","16","91.1","5.7","53.6%"
"56","Darius Slayton (NYG)","96","19.2","50","751","15.0","10","3","2","-1","0","1","16","91.0","5.7","31.5%"
"57","Mecole Hardman Jr. (BUF)","62","11.1","41","560","13.7","7","4","4","31","0","2","16","87.1","5.4","1.1%"
"58","Rashard Higgins (FA)","52","0","37","599","16.2","12","4","0","0","0","0","13","83.9","6.5","0.0%"
"59","David Moore (CAR)","47","9.4","35","417","11.9","5","6","8","61","0","0","16","83.8","5.2","0.8%"
"60","Jakobi Meyers (JAC)","81","13.8","59","729","12.4","11","0","2","9","0","1","14","83.6","6.0","86.0%"
"61","Kendrick Bourne (SF)","74","13.4","49","667","13.6","7","2","0","0","0","0","15","80.7","5.4","4.0%"
"62","Greg Ward (FA)","79","0","53","419","7.9","3","6","2","-4","0","0","16","80.1","5.0","0.0%"
"63","Travis Fulgham (FA)","67","0","38","539","14.2","5","4","0","0","0","0","13","77.9","6.0","0.0%"
"64","Hunter Renfrow (FA)","77","0","56","656","11.7","7","2","0","0","0","1","16","75.6","4.7","0.9%"
"65","Josh Reynolds (NYJ)","81","17.7","52","618","11.9","8","2","1","5","0","1","16","72.3","4.5","2.1%"
"66","Antonio Brown (FA)","62","0","45","483","10.7","6","4","2","-2","0","0","8","72.1","9.0","1.0%"
"67","Isaiah McKenzie (FA)","34","0","30","282","9.4","3","5","10","9","0","0","16","69.6","4.4","0.0%"
"68","Scotty Miller (PIT)","53","8.4","33","501","15.2","7","3","3","14","0","0","16","69.5","4.3","0.1%"
"69","James Washington (FA)","56","0","30","392","13.1","5","5","0","0","0","0","16","69.2","4.3","0.0%"
"70","Tre'Quan Smith (FA)","50","0","34","448","13.2","9","4","1","3","0","0","14","69.1","4.9","0.0%"
"71","Breshad Perriman (FA)","60","0","30","505","16.8","10","3","1","6","0","0","12","69.1","5.8","0.0%"
"72","Jalen Guyton (FA)","55","0","28","511","18.3","7","3","2","0","0","0","16","69.1","4.3","0.0%"
"73","Damiere Byrd (FA)","77","0","47","604","12.9","10","1","2","15","0","0","16","67.9","4.2","0.0%"
"74","Allen Lazard (FA)","46","0","33","451","13.7","6","3","2","17","0","0","10","64.8","6.5","0.8%"
"75","A.J. Green (FA)","104","0","47","523","11.1","3","2","0","0","0","0","16","64.3","4.0","0.7%"
"76","Odell Beckham Jr. (FA)","43","0","23","319","13.9","3","3","3","72","1","0","7","63.8","9.1","1.2%"
"77","John Brown (FA)","52","0","33","458","13.9","7","3","0","0","0","0","9","63.8","7.1","0.0%"
"78","Demarcus Robinson (SF)","59","10.7","45","466","10.4","7","3","0","0","0","1","15","62.6","4.2","1.1%"
"79","Randall Cobb (FA)","48","0","38","441","11.6","6","3","0","0","0","0","10","62.1","6.2","1.1%"
"80","Willie Snead IV (FA)","48","0","33","432","13.1","7","3","0","0","0","0","13","61.2","4.7","0.0%"
"81","Danny Amendola (FA)","69","0","46","602","13.1","8","0","1","2","0","0","14","60.4","4.3","0.0%"
"82","Braxton Berrios (HOU)","55","10.7","37","394","10.6","6","3","3","29","0","0","16","60.3","3.8","0.6%"
"83","KJ Hamler (FA)","56","0","30","381","12.7","5","3","9","40","0","0","13","60.1","4.6","0.0%"
"84","Anthony Miller (FA)","76","0","49","485","9.9","4","2","2","12","0","1","16","59.7","3.7","0.0%"
"85","Tyron Billy-Johnson (FA)","26","0","20","398","19.9","7","3","3","17","0","0","12","59.5","5.0","0.0%"
"86","Michael Pittman Jr. (IND)","61","11.4","40","503","12.6","5","1","3","26","0","0","13","58.9","4.5","85.1%"
"87","Henry Ruggs III (FA)","43","0","26","452","17.4","8","2","9","49","0","2","13","58.1","4.5","8.4%"
"88","Chris Conley (FA)","63","0","40","471","11.8","5","2","0","0","0","1","15","57.1","3.8","0.0%"
"89","Preston Williams (FA)","35","0","18","288","16.0","6","4","0","0","0","0","8","56.8","7.1","0.0%"
"90","Jalen Reagor (FA)","54","0","31","396","12.8","4","1","4","26","0","0","11","56.2","5.1","0.0%"
"91","Cam Sims (FA)","48","0","32","477","14.9","9","1","1","5","0","0","16","54.2","3.4","0.0%"
